Date,Open,High,Low,Close,Adj Close,Volume
01-11-2018,145.5,149.899994,142.550003,147.800003,147.800003,9838960
02-11-2018,151,152,146.25,147.850006,147.850006,7363461
05-11-2018,147.850006,151,147.100006,149.399994,149.399994,4976955
06-11-2018,150.949997,158,148.850006,157.100006,157.100006,10697831
07-11-2018,158,159.600006,147.5,148.75,148.75,8355799
09-11-2018,150,152.600006,146.199997,151.050003,151.050003,5293008
12-11-2018,151.850006,152.399994,146.550003,149.100006,149.100006,5028422
13-11-2018,147.75,152.350006,146.300003,151.5,151.5,5034549
14-11-2018,151.550003,154.699997,151.149994,153.050003,153.050003,3755179
15-11-2018,150.600006,155.300003,148.050003,150.050003,150.050003,4409902
16-11-2018,150.350006,153.199997,148,149.25,149.25,2733689
19-11-2018,150.699997,152.350006,147.550003,151.949997,151.949997,5256015
20-11-2018,152.199997,153,146.300003,147.699997,147.699997,3933605
21-11-2018,147,147.050003,140.75,141.899994,141.899994,10182446
22-11-2018,140.949997,145.25,140.199997,144.600006,144.600006,3600515
26-11-2018,145.300003,145.899994,142.899994,143.199997,143.199997,2699178
27-11-2018,143.949997,145,138.550003,141.300003,141.300003,4190138
28-11-2018,143.699997,143.800003,141.100006,141.699997,141.699997,2420166
29-11-2018,142.5,145.100006,141.699997,144.25,144.25,3039033
30-11-2018,143.899994,144.850006,140.649994,141.600006,141.600006,2524234
03-12-2018,141.850006,142.899994,140.300003,142.399994,142.399994,2349439
04-12-2018,143,143,139.199997,139.649994,139.649994,1961530
05-12-2018,137.949997,141.199997,136.199997,139.050003,139.050003,2787159
06-12-2018,141,141,136.800003,137.149994,137.149994,1987735
07-12-2018,136.100006,136.550003,133.199997,133.550003,133.550003,2650842
10-12-2018,132.149994,134.100006,128.5,129.350006,129.350006,3766220
11-12-2018,130.149994,130.949997,127.5,128.100006,128.100006,3408851
12-12-2018,126.550003,127.199997,125.449997,126.25,126.25,2433783
13-12-2018,126,128,125.400002,126.550003,126.550003,2500333
14-12-2018,125.949997,125.949997,121.199997,121.800003,121.800003,2216753
17-12-2018,122,125,119.800003,124,124,2768606
18-12-2018,124.300003,126.449997,123.599998,124.150002,124.150002,2229100
19-12-2018,123.300003,124.699997,121.300003,121.949997,121.949997,2479869
20-12-2018,121.949997,125.400002,121.650002,123.099998,123.099998,3209572
21-12-2018,124.5,126.5,121.650002,125.550003,125.550003,3427697
24-12-2018,125,126.900002,123.599998,126.25,126.25,3067265
26-12-2018,126.400002,127.199997,124.349998,125.550003,125.550003,2202598
27-12-2018,127,128.5,126.099998,127.900002,127.900002,2837972
28-12-2018,128.600006,130.800003,128.050003,129.149994,129.149994,3301515
31-12-2018,129.949997,130,127.150002,127.650002,127.650002,2543447
01-01-2019,128.5,132.199997,126.900002,131.25,131.25,2941207
02-01-2019,131.899994,143.850006,131.050003,140.199997,140.199997,9087334
03-01-2019,139.850006,140.199997,135.800003,136.399994,136.399994,4274500
04-01-2019,137.300003,139.899994,135.050003,138.699997,138.699997,3792777
07-01-2019,138.100006,140.449997,136.550003,137.699997,137.699997,2982923
08-01-2019,138.600006,140.350006,137.199997,138.5,138.5,3977619
09-01-2019,138.699997,140.199997,138.149994,138.949997,138.949997,2260205
10-01-2019,138.800003,141.899994,138,140.100006,140.100006,3659192
11-01-2019,139,141.149994,135.149994,135.699997,135.699997,2810197
14-01-2019,135.199997,138.800003,131.600006,137.949997,137.949997,2656279
15-01-2019,138.5,139.399994,137.199997,138.850006,138.850006,2225296
16-01-2019,139.800003,144.300003,138.399994,142.100006,142.100006,3864730
17-01-2019,142.100006,145.850006,141.199997,143.050003,143.050003,3639299
18-01-2019,142.350006,152.5,141.75,148.449997,148.449997,7000407
21-01-2019,148,148,142.800003,144.199997,144.199997,2759245
22-01-2019,144.899994,153,143.25,151.899994,151.899994,7953417
23-01-2019,150.600006,153.449997,146.399994,151.600006,151.600006,6780058
24-01-2019,151.699997,169.100006,151.050003,167.300003,167.300003,14969300
25-01-2019,168.5,172.5,166.300003,167.899994,167.899994,9057071
28-01-2019,167.300003,170.800003,164,168.350006,168.350006,5724353
29-01-2019,169.699997,169.699997,164.5,166.550003,166.550003,6245171
30-01-2019,161.949997,163,152.199997,153.899994,153.899994,20881408
31-01-2019,153.5,155.75,148.600006,150.199997,150.199997,6777579
01-02-2019,151,151.600006,145,146.050003,146.050003,5339783
04-02-2019,146.199997,148,142.800003,145.149994,145.149994,4431777
05-02-2019,145.25,146.550003,140.649994,141.449997,141.449997,5052690
06-02-2019,143,143.5,140.300003,141.649994,141.649994,3832761
07-02-2019,142.300003,144.5,141.100006,141.649994,141.649994,3186235
08-02-2019,141.399994,142.699997,140.5,141.600006,141.600006,3873866
11-02-2019,142.300003,147.350006,142,145.149994,145.149994,6067332
12-02-2019,146.899994,149.449997,146,147.149994,147.149994,5243714
14-02-2019,147.699997,148,143.899994,144.25,144.25,3763386
